,word data,ocr data,conf,check,ocr time,
1067,r,r,96,0,,
1068,d,d,96,0,,
1069,i,i,96,0,,
1070,n,n,96,0,,
1071,a,a,96,0,,
1072,n,n,96,0,,
1073,c,c,96,0,,
1074,e,e,96,0,,
1075,E,E,96,0,,
1076,n,n,96,0,,
1077,q,q,96,0,,
1078,u,u,96,0,,
1079,i,i,96,0,,
1080,r,r,96,0,,
1081,i,i,96,0,,
1082,e,e,96,0,,
1083,s,s,96,0,,
1084,c,c,96,0,,
1085,o,o,96,0,,
1086,n,n,96,0,,
1087,c,c,96,0,,
1088,e,e,96,0,,
1089,r,r,96,0,,
1090,n,n,96,0,,
1091,i,i,96,0,,
1092,n,n,96,0,,
1093,g,g,96,0,,
1094,t,t,96,0,,
1095,h,h,96,0,,
1096,e,e,96,0,,
1097,p,p,96,0,,
1098,e,e,96,0,,
1099,r,r,96,0,,
1100,s,s,96,0,,
1101,o,o,96,0,,
1102,n,n,96,0,,
1103,a,a,96,0,,
1104,l,l,96,0,,
1105,d,d,96,0,,
1106,a,a,96,0,,
1107,t,t,96,0,,
1108,a,a,96,0,,
1109,a,a,96,0,,
1110,c,c,96,0,,
1111,c,c,96,0,,
1112,e,e,96,0,,
1113,s,s,96,0,,
1114,s,s,96,0,,
1115,a,a,96,0,,
1116,n,n,96,0,,
1117,d,d,96,0,,
1118,c,c,96,0,,
1119,o,o,96,0,,
1120,r,r,96,0,,
1121,r,r,96,0,,
1122,e,e,96,0,,
1123,c,c,96,0,,
1124,t,t,96,0,,
1125,i,i,96,0,,
1126,o,o,96,0,,
1127,n,n,96,0,,
1128,s,s,96,0,,
1129,h,h,96,0,,
1130,o,o,96,0,,
1131,u,u,96,0,,
1132,l,l,96,0,,
1133,d,d,96,0,,
1134,b,b,96,0,,
1135,e,e,96,0,,
1136,s,s,95,0,,
1137,u,u,95,0,,
1138,b,b,95,0,,
1139,m,m,95,0,,
1140,i,i,95,0,,
1141,t,t,95,0,,
1142,t,t,95,0,,
1143,e,e,95,0,,
1144,d,d,95,0,,
1145,i,i,95,0,,
